Time,Perch,Preening,Hover,Visitation
11:01:38,,,1,
11:01:39,,,1,
11:01:40,,,1,
11:01:41,,,1,
11:01:42,,,1,
11:01:43,,,1,
11:01:44,,,1,
11:01:45,,,1,
11:01:46,,,1,
11:01:47,,,1,
11:01:48,,,1,
11:01:49,,,1,
11:01:50,,,1,
11:01:51,,,1,
11:01:52,1,,,
11:01:53,1,,,
11:01:54,1,,,
11:01:55,1,,,
11:01:56,1,,,
11:01:57,1,,,
11:01:58,1,,,
11:01:59,1,,,
11:02:00,1,,,
11:02:01,,,1,
11:02:02,,,1,
11:02:03,,,1,
11:02:04,,,1,
11:02:05,,,1,
11:02:06,,,1,
11:02:07,,,1,
11:02:08,,,1,
11:02:09,,,1,
11:02:10,,,1,
11:02:11,1,,,
11:02:12,1,,,
11:02:13,1,,,
11:02:14,1,,,
11:02:15,1,,,
11:02:16,1,,,
11:02:17,,,1,
11:02:18,,,1,
11:02:19,,,1,
11:02:20,,,1,
11:02:21,,,1,
11:02:22,,,1,
11:02:23,1,,,
11:02:24,1,,,
11:02:25,1,,,
11:02:26,,,1,
11:02:27,,,1,
11:02:28,,,1,
11:02:29,,,1,
11:02:30,,,1,
11:02:31,,,1,
11:02:32,,,1,
11:02:33,,,1,
11:02:34,1,,,
11:02:35,1,,,
11:02:36,1,,,
11:02:37,,,1,
11:02:38,,,1,
11:02:39,,,1,
11:02:40,,,1,
11:02:41,,,1,
11:02:42,,,1,
11:02:43,,,1,
11:02:44,1,0,0,0
11:02:45,1,0,0,0
11:02:46,1,0,0,0
11:02:47,1,0,0,0
11:02:48,0,0,1,0
11:02:49,0,0,1,0
11:02:50,0,0,1,0
11:02:51,0,0,1,0
11:02:52,0,0,1,0
11:02:53,1,0,0,0
11:02:54,1,0,0,0
11:02:55,1,0,0,0
11:02:56,1,0,0,0
11:02:57,0,0,1,0
11:02:58,0,0,1,0
11:02:59,0,0,1,0
11:03:00,0,0,1,0
11:03:01,0,0,1,0
11:03:02,0,0,1,0
11:03:03,1,0,0,0
11:03:04,1,0,0,0
11:03:05,1,0,0,0
11:03:06,1,0,0,0
11:03:07,1,0,0,0
11:03:08,1,0,0,0
11:03:09,0,0,1,0
11:03:10,0,0,1,0
11:03:11,0,0,1,0
11:03:12,0,0,1,0
11:03:13,0,0,1,0
11:03:14,0,0,1,0
11:03:15,0,0,1,0
11:03:16,0,0,1,0
11:03:17,0,0,1,0
11:03:18,1,0,0,0
11:03:19,1,0,0,0
11:03:20,1,0,0,0
11:03:21,1,0,0,0
11:03:22,1,0,0,0
11:03:23,0,0,1,0
11:03:24,0,0,1,0
11:03:25,0,0,1,0
11:03:26,0,0,1,0
11:03:27,0,0,1,0
11:03:28,0,0,1,0
11:03:29,0,0,1,0
11:03:30,0,0,1,0
11:03:31,0,0,1,0
11:03:32,0,0,1,0
11:03:33,0,0,1,0
11:03:34,0,0,1,0
11:03:35,0,0,1,0
11:03:36,1,0,0,0
11:03:37,1,0,0,0
11:03:38,1,0,0,0
11:03:39,0,0,1,0
11:03:40,0,0,1,0
11:03:41,0,0,1,0
11:03:42,0,0,1,0
11:03:43,0,0,1,0
11:03:44,0,0,1,0
11:03:45,0,0,1,0
11:03:46,0,0,1,0
11:03:47,1,0,0,0
11:03:48,1,0,0,0
11:03:49,1,0,0,0
11:03:50,1,0,0,0
11:03:51,0,0,1,0
11:03:52,0,0,1,0
11:03:53,0,0,1,0
11:03:54,0,0,1,0
11:03:55,0,0,1,0
11:03:56,0,0,1,0
11:03:57,0,0,1,0
11:03:58,1,0,0,0
11:03:59,1,0,0,0
11:04:00,1,0,0,0
11:04:01,0,0,1,0
11:04:02,0,0,1,0
11:04:03,0,0,1,0
11:04:04,0,0,1,0
11:04:05,0,0,1,0
11:04:06,0,0,1,0
11:04:07,0,0,1,0
11:04:08,0,0,1,0
11:04:09,0,0,1,0
11:04:10,0,0,1,0
11:04:11,0,0,1,0
11:04:12,0,0,1,0
11:04:13,0,0,1,0
11:04:14,0,0,1,0
11:04:15,0,0,1,0
11:04:16,1,0,0,0
11:04:17,1,0,0,0
11:04:18,0,0,1,0
11:04:19,0,0,1,0
11:04:20,0,0,1,0
11:04:21,0,0,1,0
11:04:22,0,0,1,0
11:04:23,0,0,1,0
11:04:24,1,0,0,0
11:04:25,1,0,0,0
11:04:26,1,0,0,0
11:04:27,1,0,0,0
11:04:28,0,0,1,0
11:04:29,0,0,1,0
11:04:30,0,0,1,0
11:04:31,0,0,1,0
11:04:32,0,0,1,0
11:04:33,0,0,1,0
11:04:34,0,0,1,0
11:04:35,0,0,1,0
11:04:36,0,0,1,0
11:04:37,0,0,1,0
11:04:38,0,0,1,0
11:04:39,0,0,1,0
11:04:40,0,0,1,0
11:04:41,1,0,0,0
11:04:42,1,0,0,0
11:04:43,1,0,0,0
11:04:44,1,0,0,0
11:04:45,1,0,0,0
11:04:46,0,0,1,0
11:04:47,0,0,1,0
11:04:48,0,0,1,0
11:04:49,0,0,1,0
11:04:50,0,0,1,0
11:04:51,0,0,1,0
11:04:52,0,0,1,0
11:04:53,0,0,1,0
11:04:54,0,0,1,0
11:04:55,0,0,1,0
11:04:56,0,0,1,0
11:04:57,0,0,1,0
11:04:58,0,0,1,0
11:04:59,0,0,1,0
11:05:00,0,0,1,0
11:05:01,1,0,0,0
11:05:02,1,0,0,0
11:05:03,0,0,1,0
11:05:04,0,0,1,0
11:05:05,0,0,1,0
11:05:06,0,0,1,0
11:05:07,0,0,1,0
11:05:08,0,0,1,0
11:05:09,0,0,1,0
11:05:10,1,0,0,0
11:05:11,1,0,0,0
11:05:12,1,0,0,0
11:05:13,0,0,1,0
11:05:14,0,0,1,0
11:05:15,0,0,1,0
11:05:16,0,0,1,0
11:05:17,1,0,0,0
11:05:18,1,0,0,0
11:05:19,1,0,0,0
11:05:20,1,0,0,0
11:05:21,0,0,1,0
11:05:22,0,0,1,0
11:05:23,0,0,1,0
11:05:24,0,0,1,0
11:05:25,0,0,1,0
11:05:26,0,0,1,0
11:05:27,0,0,1,0
11:05:28,0,0,1,0
11:05:29,0,0,1,0
11:05:30,1,0,0,0
11:05:31,1,0,0,0
11:05:32,1,0,0,0
11:05:33,0,0,1,0
11:05:34,0,0,1,0
11:05:35,0,0,1,0
11:05:36,0,0,1,0
11:05:37,0,0,1,0
11:05:38,1,0,0,0
11:05:39,0,0,1,0
11:05:40,0,0,1,0
11:05:41,0,0,1,0
11:05:42,0,0,1,0
11:05:43,0,0,1,0
11:05:44,0,0,1,0
11:05:45,0,0,1,0
11:05:46,0,0,1,0
11:05:47,0,0,1,0
11:05:48,0,0,1,0
11:05:49,0,0,1,0
11:05:50,0,0,1,0
11:05:51,0,0,1,0
11:05:52,0,0,1,0
11:05:53,0,0,1,0
11:05:54,0,0,1,0
11:05:55,0,0,1,0
11:05:56,0,0,1,0
11:05:57,0,0,1,0
11:05:58,0,0,1,0
11:05:59,0,0,1,0
11:06:00,1,0,0,0
11:06:01,1,0,0,0
11:06:02,1,0,0,0
11:06:03,1,0,0,0
11:06:04,0,0,1,0
11:06:05,0,0,1,0
11:06:06,0,0,1,0
11:06:07,0,0,1,0
11:06:08,0,0,1,0
11:06:09,0,0,1,0
11:06:10,0,0,1,0
11:06:11,0,0,1,0
11:06:12,0,0,1,0
11:06:13,0,0,1,0
11:06:14,0,0,1,0
11:06:15,0,0,1,0
11:06:16,1,0,0,0
11:06:17,1,0,0,0
11:06:18,1,0,0,0
11:06:19,1,0,0,0
11:06:20,1,0,0,0
11:06:21,1,0,0,0
11:06:22,0,0,1,0
11:06:23,0,0,1,0
11:06:24,0,0,1,0
11:06:25,0,0,1,0
11:06:26,0,0,1,0
11:06:27,0,0,1,0
11:06:28,0,0,1,0
11:06:29,0,0,1,0
11:06:30,0,0,0,1
11:06:31,0,0,0,1
11:06:32,0,0,0,1
11:06:33,0,0,0,1
11:06:34,0,0,0,1
11:06:35,0,0,0,1
11:06:36,0,0,0,1
11:06:37,0,0,1,0
11:06:38,0,0,0,1
11:06:39,0,0,0,1
11:06:40,0,0,0,1
11:06:41,0,0,1,0
11:06:42,0,0,0,1
